Venue,Bat First,Bat Second,Winner
Pallekele International Cricket Stadium,New Zealand,Sri Lanka,Sri Lanka
Shere Bangla National Stadium,Afghanistan,Bangladesh,Bangladesh
Zahur Ahmed Chowdhury Stadium,Nepal,Hong Kong,Nepal
Sylhet Stadium,Zimbabwe,Ireland,Ireland
Sylhet Stadium,United Arab Emirates,Netherlands,Netherlands
Zahur Ahmed Chowdhury Stadium,Hong Kong,Afghanistan,Afghanistan
Zahur Ahmed Chowdhury Stadium,Nepal,Bangladesh,Bangladesh
Sylhet Stadium,Netherlands,Zimbabwe,Zimbabwe
Sylhet Stadium,United Arab Emirates,Ireland,Ireland
Zahur Ahmed Chowdhury Stadium,Nepal,Afghanistan,Nepal
Zahur Ahmed Chowdhury Stadium,Bangladesh,Hong Kong,Hong Kong
Sylhet Stadium,United Arab Emirates,Zimbabwe,Zimbabwe
Sylhet Stadium,Ireland,Netherlands,Netherlands
Zahur Ahmed Chowdhury Stadium,England,New Zealand,New Zealand
Zahur Ahmed Chowdhury Stadium,Netherlands,Sri Lanka,Sri Lanka
Zahur Ahmed Chowdhury Stadium,South Africa,Netherlands,South Africa
Zahur Ahmed Chowdhury Stadium,Netherlands,New Zealand,New Zealand
Zahur Ahmed Chowdhury Stadium,Netherlands,England,Netherlands
Shere Bangla National Stadium,Bangladesh,Australia,Australia
Shere Bangla National Stadium,West Indies,Pakistan,West Indies
Shere Bangla National Stadium,Sri Lanka,West Indies,Sri Lanka
Shere Bangla National Stadium,South Africa,India,India
Shere Bangla National Stadium,India,Sri Lanka,Sri Lanka
New Wanderers Stadium,South Africa,Pakistan,South Africa
Newlands,Pakistan,South Africa,Pakistan
Zahur Ahmed Chowdhury Stadium,Sri Lanka,Bangladesh,Sri Lanka
Zahur Ahmed Chowdhury Stadium,Bangladesh,Sri Lanka,Sri Lanka
Sabina Park,West Indies,Ireland,Ireland
Sabina Park,West Indies,Ireland,West Indies
Newlands,South Africa,West Indies,West Indies
New Wanderers Stadium,South Africa,West Indies,West Indies
Dubai International Cricket Stadium,Pakistan,Australia,Australia
Windsor Park,West Indies,New Zealand,New Zealand
Windsor Park,West Indies,New Zealand,West Indies
Kingsmead,South Africa,West Indies,South Africa
Dubai International Cricket Stadium,New Zealand,Pakistan,Pakistan
Old Trafford,England,New Zealand,England
Sophia Gardens,England,Australia,England
Dubai International Cricket Stadium,New Zealand,Pakistan,New Zealand
Adelaide Oval,Australia,South Africa,South Africa
Melbourne Cricket Ground,South Africa,Australia,Australia
Stadium Australia,South Africa,Australia,Australia
Newlands,England,South Africa,South Africa
New Wanderers Stadium,England,South Africa,South Africa
P Sara Oval,Nepal,Hong Kong,Hong Kong
Shere Bangla National Stadium,South Africa,Bangladesh,South Africa
Shere Bangla National Stadium,South Africa,Bangladesh,South Africa
Kingsmead,New Zealand,South Africa,South Africa
SuperSport Park,New Zealand,South Africa,New Zealand
Shere Bangla National Stadium,Pakistan,Bangladesh,Bangladesh
R Premadasa Stadium,Pakistan,Sri Lanka,Pakistan
R Premadasa Stadium,Sri Lanka,Pakistan,Pakistan
Gaddafi Stadium,Zimbabwe,Pakistan,Pakistan
Gaddafi Stadium,Zimbabwe,Pakistan,Pakistan
Grange Cricket Club Ground,United Arab Emirates,Scotland,Scotland
Grange Cricket Club Ground,Afghanistan,Netherlands,Afghanistan
Grange Cricket Club Ground,United Arab Emirates,Afghanistan,Afghanistan
Grange Cricket Club Ground,Netherlands,Scotland,Netherlands
Grange Cricket Club Ground,United Arab Emirates,Netherlands,Netherlands
