Venue,Bat First,Bat Second,Winner
Bulawayo Athletic Club,Hong Kong,Uganda,Uganda
Queens Sports Club,Zimbabwe,Jersey,Zimbabwe
Bulawayo Athletic Club,United States of America,Singapore,United States of America
Queens Sports Club,Hong Kong,Netherlands,Netherlands
Bulawayo Athletic Club,Uganda,Papua New Guinea,Papua New Guinea
Queens Sports Club,Netherlands,Uganda,Netherlands
Bulawayo Athletic Club,Papua New Guinea,Hong Kong,Hong Kong
Queens Sports Club,Zimbabwe,United States of America,Zimbabwe
Queens Sports Club,Uganda,Jersey,Uganda
Bulawayo Athletic Club,Singapore,Hong Kong,Hong Kong
Queens Sports Club,Zimbabwe,Papua New Guinea,Zimbabwe
Bulawayo Athletic Club,United States of America,Netherlands,Netherlands
Queens Sports Club,Uganda,Hong Kong,Uganda
Bulawayo Athletic Club,Singapore,Jersey,Jersey
Bulawayo Athletic Club,Papua New Guinea,United States of America,Papua New Guinea
Queens Sports Club,Zimbabwe,Netherlands,Zimbabwe
UKM-YSD Cricket Oval,Malaysia,Bhutan,Malaysia
UKM-YSD Cricket Oval,Thailand,Malaysia,Malaysia
UKM-YSD Cricket Oval,Bhutan,Maldives,Bhutan
UKM-YSD Cricket Oval,Thailand,Bhutan,Bhutan
UKM-YSD Cricket Oval,Maldives,Malaysia,Malaysia
UKM-YSD Cricket Oval,Bhutan,Maldives,Bhutan
UKM-YSD Cricket Oval,Thailand,Malaysia,Malaysia
UKM-YSD Cricket Oval,Maldives,Thailand,Maldives
UKM-YSD Cricket Oval,Bhutan,Thailand,Bhutan
UKM-YSD Cricket Oval,Bhutan,Malaysia,Malaysia
Indian Association Ground,Singapore,Papua New Guinea,Singapore
Indian Association Ground,Singapore,Papua New Guinea,Papua New Guinea
Bay Oval,India,New Zealand,India
Hagley Oval,Pakistan,Bangladesh,Pakistan
Hagley Oval,New Zealand,Pakistan,Pakistan
Hagley Oval,Bangladesh,New Zealand,New Zealand
Hagley Oval,Pakistan,New Zealand,New Zealand
Hagley Oval,New Zealand,Bangladesh,New Zealand
Hagley Oval,Bangladesh,Pakistan,Pakistan
Hagley Oval,New Zealand,Pakistan,Pakistan
University Oval,Sri Lanka,New Zealand,New Zealand
John Davies Oval,Sri Lanka,New Zealand,New Zealand
Harare Sports Club,Zimbabwe,Bangladesh,Zimbabwe
Harare Sports Club,Zimbabwe,Bangladesh,Bangladesh
Harare Sports Club,Zimbabwe,Bangladesh,Zimbabwe
Lisicji Jarak Cricket Ground,Bulgaria,Serbia,Serbia
Lisicji Jarak Cricket Ground,Bulgaria,Serbia,Serbia
Lisicji Jarak Cricket Ground,Bulgaria,Serbia,Bulgaria
National Stadium,Pakistan,England,England
National Stadium,England,Pakistan,Pakistan
National Stadium,England,Pakistan,England
National Stadium,Pakistan,England,Pakistan
Gaddafi Stadium,Pakistan,England,Pakistan
Gaddafi Stadium,Pakistan,England,England
Gaddafi Stadium,England,Pakistan,England
Dubai International Cricket Stadium,Sri Lanka,Afghanistan,Afghanistan
Dubai International Cricket Stadium,Pakistan,India,India
Sharjah Cricket Stadium,Bangladesh,Afghanistan,Afghanistan
Dubai International Cricket Stadium,India,Hong Kong,India
Dubai International Cricket Stadium,Bangladesh,Sri Lanka,Sri Lanka
Sharjah Cricket Stadium,Pakistan,Hong Kong,Pakistan
Sharjah Cricket Stadium,Afghanistan,Sri Lanka,Sri Lanka
Dubai International Cricket Stadium,India,Pakistan,Pakistan
Dubai International Cricket Stadium,India,Sri Lanka,Sri Lanka
Sharjah Cricket Stadium,Afghanistan,Pakistan,Pakistan
Dubai International Cricket Stadium,India,Afghanistan,India
Dubai International Cricket Stadium,Pakistan,Sri Lanka,Sri Lanka
Dubai International Cricket Stadium,Sri Lanka,Pakistan,Sri Lanka
Punjab Cricket Association IS Bindra Stadium,India,Australia,Australia
Vidarbha Cricket Association Stadium,Australia,India,India
Rajiv Gandhi International Stadium,Australia,India,India
Greenfield International Stadium,South Africa,India,India
Barsapara Cricket Stadium,India,South Africa,India
Holkar Cricket Stadium,South Africa,India,South Africa
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Kuwait,Bahrain,Kuwait
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,Kuwait,Kuwait
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Kuwait,Bahrain,Kuwait
Gymkhana Club Ground,Kenya,Nepal,Nepal
Gymkhana Club Ground,Kenya,Nepal,Nepal
Gymkhana Club Ground,Kenya,Nepal,Kenya
Gymkhana Club Ground,Nepal,Kenya,Nepal
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,Singapore,Hong Kong
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Kuwait,Kuwait
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Singapore,United Arab Emirates
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Kuwait,Hong Kong,Hong Kong
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Singapore,Kuwait,Kuwait
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Hong Kong,Hong Kong
Willowmoore Park,Botswana,Uganda,Uganda
Willowmoore Park,Kenya,Tanzania,Tanzania
Willowmoore Park,Ghana,Mozambique,Ghana
Willowmoore Park,Ghana,Uganda,Uganda
Willowmoore Park,Uganda,Mozambique,Uganda
Willowmoore Park,Botswana,Mozambique,Botswana
Willowmoore Park,Tanzania,Malawi,Tanzania
Willowmoore Park,Cameroon,Kenya,Kenya
Willowmoore Park,Botswana,Ghana,Botswana
Willowmoore Park,Kenya,Uganda,Uganda
Willowmoore Park,Botswana,Tanzania,Tanzania
Willowmoore Park,Tanzania,Uganda,Uganda
Independence Park,Cook Islands,Fiji,Fiji
Independence Park,Samoa,Vanuatu,Vanuatu
Independence Park,Vanuatu,Cook Islands,Cook Islands
Independence Park,Samoa,Fiji,Fiji
Independence Park,Samoa,Cook Islands,Cook Islands
Independence Park,Vanuatu,Fiji,Vanuatu
Independence Park,Samoa,Vanuatu,Vanuatu
Independence Park,Fiji,Cook Islands,Cook Islands
Independence Park,Fiji,Samoa,Fiji
Independence Park,Vanuatu,Cook Islands,Vanuatu
Sano International Cricket Ground,Japan,Indonesia,Japan
Sano International Cricket Ground,Japan,Indonesia,Indonesia
Dubai International Cricket Stadium,Bangladesh,United Arab Emirates,Bangladesh
Dubai International Cricket Stadium,Bangladesh,United Arab Emirates,Bangladesh
Sano International Cricket Ground,Indonesia,South Korea,Indonesia
Sano International Cricket Ground,Japan,South Korea,Japan
Sano International Cricket Ground,Indonesia,Japan,Japan
Sano International Cricket Ground,Japan,Indonesia,Indonesia
Sano International Cricket Ground,South Korea,Indonesia,Indonesia
Desert Springs Cricket Ground,Italy,Germany,Germany
Desert Springs Cricket Ground,Italy,Germany,Germany
Desert Springs Cricket Ground,Italy,Spain,Spain
Desert Springs Cricket Ground,Germany,Spain,Germany
Desert Springs Cricket Ground,Spain,Germany,Spain
Desert Springs Cricket Ground,Italy,Spain,Italy
SuperSport Park,South Africa,West Indies,West Indies
SuperSport Park,West Indies,South Africa,South Africa
The Wanderers Stadium,West Indies,South Africa,West Indies
Gaddafi Stadium,Pakistan,New Zealand,Pakistan
Gaddafi Stadium,Pakistan,New Zealand,Pakistan
Gaddafi Stadium,New Zealand,Pakistan,New Zealand
Rawalpindi Cricket Stadium,Pakistan,New Zealand,New Zealand
Gahanga International Cricket Stadium. Rwanda,Botswana,Rwanda,Rwanda
Integrated Polytechnic Regional Centre,Lesotho,Mali,Lesotho
Gahanga International Cricket Stadium. Rwanda,Rwanda,St Helena,Rwanda
Integrated Polytechnic Regional Centre,Lesotho,Botswana,Botswana
Integrated Polytechnic Regional Centre,Mali,Kenya,Kenya
Gahanga International Cricket Stadium. Rwanda,Rwanda,Kenya,Kenya
Integrated Polytechnic Regional Centre,Kenya,Lesotho,Kenya
Gahanga International Cricket Stadium. Rwanda,Mali,Botswana,Botswana
Integrated Polytechnic Regional Centre,St Helena,Lesotho,St Helena
Gahanga International Cricket Stadium. Rwanda,St Helena,Malawi,Malawi
Integrated Polytechnic Regional Centre,Rwanda,Seychelles,Rwanda
Gahanga International Cricket Stadium. Rwanda,Botswana,Kenya,Kenya
Integrated Polytechnic Regional Centre,Mali,Rwanda,Rwanda
Gahanga International Cricket Stadium. Rwanda,Seychelles,Kenya,Kenya
Gahanga International Cricket Stadium. Rwanda,Sierra Leone,Tanzania,Tanzania
Gahanga International Cricket Stadium. Rwanda,Mozambique,Nigeria,Nigeria
Integrated Polytechnic Regional Centre,Gambia,Eswatini,Eswatini
Gahanga International Cricket Stadium. Rwanda,Sierra Leone,Nigeria,Nigeria
Integrated Polytechnic Regional Centre,Ghana,Mozambique,Mozambique
Gahanga International Cricket Stadium. Rwanda,Cameroon,Sierra Leone,Sierra Leone
Integrated Polytechnic Regional Centre,Eswatini,Mozambique,Mozambique
Gahanga International Cricket Stadium. Rwanda,Cameroon,Mozambique,Mozambique
Integrated Polytechnic Regional Centre,Nigeria,Eswatini,Nigeria
Gahanga International Cricket Stadium. Rwanda,Ghana,Tanzania,Tanzania
Gahanga International Cricket Stadium. Rwanda,Mozambique,Tanzania,Tanzania
Integrated Polytechnic Regional Centre,Sierra Leone,Eswatini,Sierra Leone
Gahanga International Cricket Stadium. Rwanda,Cameroon,Nigeria,Nigeria
Integrated Polytechnic Regional Centre,Ghana,Sierra Leone,Sierra Leone
Gahanga International Cricket Stadium. Rwanda,Tanzania,Eswatini,Tanzania
Integrated Polytechnic Regional Centre,Gambia,Sierra Leone,Sierra Leone
Gahanga International Cricket Stadium. Rwanda,Gambia,Tanzania,Tanzania
Gahanga International Cricket Stadium. Rwanda,Ghana,Gambia,Ghana
Integrated Polytechnic Regional Centre,Mozambique,Gambia,Mozambique
Integrated Polytechnic Regional Centre,Gambia,Cameroon,Gambia
Gahanga International Cricket Stadium. Rwanda,Ghana,Nigeria,Nigeria
Integrated Polytechnic Regional Centre,Tanzania,Cameroon,Tanzania
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Saudi Arabia,Oman,Oman
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,Canada,Canada
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Saudi Arabia,Canada
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Bahrain,Bahrain
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,Saudi Arabia,Bahrain
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Oman,Canada
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Saudi Arabia,Oman,Oman
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Bahrain,Bahrain
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Saudi Arabia,Canada
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Bahrain,Oman
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Canada,Canada
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,Saudi Arabia,Saudi Arabia
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Saudi Arabia,Bahrain,Saudi Arabia
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Canada,Canada
Harare Sports Club,Ireland,Zimbabwe,Zimbabwe
Harare Sports Club,Zimbabwe,Ireland,Ireland
Harare Sports Club,Ireland,Zimbabwe,Zimbabwe
Wankhede Stadium,India,Sri Lanka,India
Maharashtra Cricket Association Stadium,Sri Lanka,India,Sri Lanka
Saurashtra Cricket Association Stadium,India,Sri Lanka,India
JSCA International Stadium Complex,New Zealand,India,New Zealand
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,New Zealand,India,India
Narendra Modi Stadium,India,New Zealand,India
Gahanga International Cricket Stadium,Tanzania,Rwanda,Tanzania
Gahanga International Cricket Stadium,Uganda,Rwanda,Uganda
Gahanga International Cricket Stadium,Uganda,Rwanda,Uganda
Gahanga International Cricket Stadium,Uganda,Tanzania,Uganda
Gahanga International Cricket Stadium,Rwanda,Tanzania,Rwanda
Gahanga International Cricket Stadium,Uganda,Tanzania,Uganda
Gahanga International Cricket Stadium,Rwanda,Tanzania,Tanzania
Gahanga International Cricket Stadium,Uganda,Tanzania,Tanzania
Gahanga International Cricket Stadium,Tanzania,Rwanda,Tanzania
Gahanga International Cricket Stadium,Rwanda,Uganda,Uganda
Gahanga International Cricket Stadium,Tanzania,Rwanda,Tanzania
Gahanga International Cricket Stadium,Uganda,Tanzania,Uganda
Gahanga International Cricket Stadium,Uganda,Rwanda,Uganda
UKM-YSD Cricket Oval,Singapore,Qatar,Qatar
UKM-YSD Cricket Oval,Qatar,Malaysia,Malaysia
UKM-YSD Cricket Oval,Bahrain,Qatar,Bahrain
UKM-YSD Cricket Oval,Malaysia,Singapore,Malaysia
UKM-YSD Cricket Oval,Singapore,Qatar,Qatar
UKM-YSD Cricket Oval,Bahrain,Malaysia,Malaysia
UKM-YSD Cricket Oval,Singapore,Bahrain,Bahrain
UKM-YSD Cricket Oval,Malaysia,Singapore,Malaysia
UKM-YSD Cricket Oval,Singapore,Qatar,Qatar
UKM-YSD Cricket Oval,Malaysia,Bahrain,Bahrain
Zahur Ahmed Chowdhury Stadium,England,Bangladesh,Bangladesh
Shere Bangla National Stadium,England,Bangladesh,Bangladesh
Shere Bangla National Stadium,Bangladesh,England,Bangladesh
La Manga Club Bottom Ground,Isle of Man,Spain,Spain
La Manga Club Bottom Ground,Isle of Man,Spain,Spain
La Manga Club Bottom Ground,Isle of Man,Spain,Spain
La Manga Club Bottom Ground,Isle of Man,Spain,Spain
Zahur Ahmed Chowdhury Stadium,Bangladesh,Ireland,Bangladesh
Zahur Ahmed Chowdhury Stadium,Bangladesh,Ireland,Bangladesh
Zahur Ahmed Chowdhury Stadium,Bangladesh,Ireland,Ireland
Zayed Cricket Stadium,United Arab Emirates,Afghanistan,Afghanistan
Zayed Cricket Stadium,Afghanistan,United Arab Emirates,United Arab Emirates
Zayed Cricket Stadium,United Arab Emirates,Afghanistan,Afghanistan
St Albans Club,Argentina,Bermuda,Bermuda
Belgrano Athletic Club Ground,Bermuda,Argentina,Bermuda
St Albans Club,Cayman Islands,Bahamas,Cayman Islands
Belgrano Athletic Club Ground,Bermuda,Panama,Bermuda
Hurlingham Club Ground,Panama,Bahamas,Bahamas
Belgrano Athletic Club Ground,Bermuda,Argentina,Bermuda
Hurlingham Club Ground,Panama,Argentina,Panama
St Albans Club,Bermuda,Cayman Islands,Bermuda
St Albans Club,Argentina,Bahamas,Argentina
Hurlingham Club Ground,Cayman Islands,Panama,Cayman Islands
Hurlingham Club Ground,Bahamas,Bermuda,Bermuda
Belgrano Athletic Club Ground,Argentina,Cayman Islands,Cayman Islands
Mission Road Ground,Kuwait,Malaysia,Malaysia
Mission Road Ground,Hong Kong,Bahrain,Hong Kong
Mission Road Ground,Malaysia,Bahrain,Malaysia
Mission Road Ground,Hong Kong,Kuwait,Hong Kong
Mission Road Ground,Kuwait,Bahrain,Bahrain
Mission Road Ground,Malaysia,Hong Kong,Hong Kong
Mission Road Ground,Bahrain,Kuwait,Kuwait
Mission Road Ground,Hong Kong,Malaysia,Hong Kong
Sharjah Cricket Stadium,Pakistan,Afghanistan,Afghanistan
Sharjah Cricket Stadium,Pakistan,Afghanistan,Afghanistan
Sharjah Cricket Stadium,Pakistan,Afghanistan,Pakistan
Santarem Cricket Ground,Portugal,Gibraltar,Portugal
Santarem Cricket Ground,Gibraltar,Portugal,Portugal
Santarem Cricket Ground,Gibraltar,Portugal,Portugal
Europa Sports Complex,Gibraltar,Portugal,Portugal
Europa Sports Complex,Portugal,Malta,Portugal
Europa Sports Complex,Gibraltar,Malta,Gibraltar
Europa Sports Complex,Gibraltar,Portugal,Portugal
Europa Sports Complex,Portugal,Malta,Portugal
Europa Sports Complex,Gibraltar,Malta,Gibraltar
Europa Sports Complex,Malta,Gibraltar,Malta
Europa Sports Complex,Gibraltar,Portugal,Portugal
Europa Sports Complex,Malta,Portugal,Portugal
Svanholm Park,Norway,Denmark,Denmark
Svanholm Park,Denmark,Finland,Denmark
Svanholm Park,Denmark,Sweden,Sweden
Svanholm Park,Finland,Denmark,Denmark
Solvangs Park,Finland,Norway,Norway
Sylhet International Cricket Stadium,Afghanistan,Bangladesh,Bangladesh
Sylhet International Cricket Stadium,Afghanistan,Bangladesh,Bangladesh
Dubai International Cricket Stadium,New Zealand,United Arab Emirates,New Zealand
Dubai International Cricket Stadium,New Zealand,United Arab Emirates,United Arab Emirates
Dubai International Cricket Stadium,New Zealand,United Arab Emirates,New Zealand
Gymkhana Club Ground,Botswana,Uganda,Uganda
Gymkhana Club Ground,Rwanda,Kenya,Kenya
Gymkhana Club Ground,Kenya,Uganda,Kenya
Gymkhana Club Ground,Rwanda,Uganda,Uganda
Gymkhana Club Ground,Botswana,Rwanda,Rwanda
Gymkhana Club Ground,Botswana,Kenya,Kenya
Gymkhana Club Ground,Kenya,Uganda,Uganda
Gymkhana Club Ground,Rwanda,Kenya,Kenya
Gymkhana Club Ground,Uganda,Botswana,Uganda
Gymkhana Club Ground,Rwanda,Uganda,Uganda
Gymkhana Club Ground,Botswana,Kenya,Kenya
Gymkhana Club Ground,Rwanda,Botswana,Rwanda
Gymkhana Club Ground,Uganda,Rwanda,Uganda
Gymkhana Club Ground,Uganda,Kenya,Uganda
Gymkhana Club Ground,Botswana,Kenya,Botswana
Gymkhana Club Ground,Uganda,Kenya,Uganda
Bayer Uerdingen Cricket Ground,Belgium,Germany,Germany
Bayer Uerdingen Cricket Ground,Belgium,Germany,Germany
Scott Page Field,Hungary,Czech Republic,Czech Republic
Brian Lara Stadium,West Indies,India,West Indies
Providence Stadium,India,West Indies,West Indies
Providence Stadium,West Indies,India,India
Central Broward Regional Park Stadium Turf Ground,West Indies,India,India
Central Broward Regional Park Stadium Turf Ground,India,West Indies,West Indies
Sportpark Het Schootsveld,Austria,Germany,Germany
Sportpark Het Schootsveld,Austria,Germany,Germany
National Sports Academy,Serbia,Turkey,Serbia
National Sports Academy,Croatia,Bulgaria,Bulgaria
National Sports Academy,Bulgaria,Serbia,Serbia
National Sports Academy,Croatia,Turkey,Turkey
National Sports Academy,Croatia,Serbia,Serbia
National Sports Academy,Turkey,Bulgaria,Bulgaria
Grange Cricket Club Ground,Austria,Jersey,Jersey
Goldenacre,Ireland,Italy,Ireland
Goldenacre,Scotland,Germany,Scotland
Grange Cricket Club Ground,Denmark,Ireland,Ireland
Goldenacre,Austria,Germany,Germany
Grange Cricket Club Ground,Scotland,Jersey,Scotland
Grange Cricket Club Ground,Ireland,Austria,Ireland
Goldenacre,Italy,Jersey,Italy
Grange Cricket Club Ground,Denmark,Germany,Germany
Grange Cricket Club Ground,Scotland,Italy,Scotland
Goldenacre,Austria,Denmark,Denmark
Goldenacre,Jersey,Ireland,Ireland
Grange Cricket Club Ground,Italy,Denmark,Italy
Goldenacre,Scotland,Austria,Scotland
Grange Cricket Club Ground,Jersey,Germany,Jersey
Grange Cricket Club Ground,Scotland,Denmark,Scotland
Grange Cricket Club Ground,Germany,Italy,Italy
Goldenacre,Jersey,Denmark,Jersey
Grange Cricket Club Ground,Scotland,Ireland,Scotland
Amini Park,Japan,Philippines,Japan
Amini Park,Vanuatu,Papua New Guinea,Papua New Guinea
Amini Park,Japan,Vanuatu,Japan
Amini Park,Vanuatu,Philippines,Philippines
Amini Park,Japan,Papua New Guinea,Papua New Guinea
Amini Park,Papua New Guinea,Vanuatu,Papua New Guinea
Amini Park,Japan,Philippines,Japan
Amini Park,Japan,Vanuatu,Vanuatu
Amini Park,Papua New Guinea,Philippines,Papua New Guinea
Amini Park,Philippines,Vanuatu,Vanuatu
Amini Park,Japan,Papua New Guinea,Papua New Guinea
Bayuemas Oval,China,Malaysia,Malaysia
Bayuemas Oval,Bhutan,Myanmar,Bhutan
Bayuemas Oval,China,Thailand,Thailand
Bayuemas Oval,Malaysia,Bhutan,Malaysia
Bayuemas Oval,Thailand,Myanmar,Thailand
Bayuemas Oval,Bhutan,China,Bhutan
Bayuemas Oval,Malaysia,Myanmar,Malaysia
Bayuemas Oval,Bhutan,Thailand,Thailand
Bayuemas Oval,Myanmar,China,China
Bayuemas Oval,Thailand,Malaysia,Malaysia
Marsa Sports Club,France,Malta,France
Marsa Sports Club,Malta,France,Malta
Marsa Sports Club,Malta,Luxembourg,Malta
Marsa Sports Club,France,Luxembourg,France
Marsa Sports Club,Malta,Luxembourg,Luxembourg
Marsa Sports Club,Luxembourg,France,France
Marsa Sports Club,France,Malta,France
Marsa Sports Club,Luxembourg,Malta,Malta
Marsa Sports Club,Romania,Switzerland,Switzerland
Marsa Sports Club,France,Romania,France
Marsa Sports Club,Luxembourg,Switzerland,Switzerland
Marsa Sports Club,Malta,Romania,Malta
Marsa Sports Club,France,Switzerland,Switzerland
Marsa Sports Club,Romania,Luxembourg,Luxembourg
Marsa Sports Club,Malta,Switzerland,Switzerland
Marsa Sports Club,France,Luxembourg,Luxembourg
Marsa Sports Club,France,Malta,Malta
Marsa Sports Club,Luxembourg,Romania,Romania
Marsa Sports Club,Malta,Switzerland,Switzerland
Malahide,Ireland,India,India
Malahide,India,Ireland,India
Sportpark Het Schootsveld,Guernsey,Germany,Germany
Sportpark Het Schootsveld,Germany,Guernsey,Guernsey
Sportpark Het Schootsveld,Guernsey,Germany,Guernsey
GB Oval,Hungary,Croatia,Hungary
GB Oval,Croatia,Hungary,Hungary
Moara Vlasiei Cricket Ground,Romania,Malta,Malta
Moara Vlasiei Cricket Ground,Romania,Malta,Malta
Moara Vlasiei Cricket Ground,Malta,Romania,Romania
Moara Vlasiei Cricket Ground,Malta,Romania,Romania
Moara Vlasiei Cricket Ground,Romania,Malta,Romania
Gahanga International Cricket Stadium,Uganda,Rwanda,Uganda
Gahanga International Cricket Stadium,Tanzania,Uganda,Uganda
Gahanga International Cricket Stadium,Uganda,Tanzania,Tanzania
Gahanga International Cricket Stadium,Uganda,Rwanda,Uganda
Gahanga International Cricket Stadium,Rwanda,Tanzania,Tanzania
